频道	liveId	liveSid	LiveName	LiveDesc	正在观看	Count
脱口秀	498882886	59380039	雪琪?红颜哥哥，跳个拉丁舞吧！	「 Ｃ＋ 」雪琪 广东主播ˇ▽ˇ留到最后的才是最好的。	2671	1
脱口秀	76339545	58982883	ＳｏＨｏ·Mc 繁城 ：誓死捍卫繁家军	【ＳＯＨＯ娱乐】 MC-繁城  秒榜送冠名和VP 招收主播Y群：8999929	2627	1
脱口秀	1467546754	98726488	流氓兔  求过任务~	#NAME?	2560	1
脱口秀	1438614301	61723931	【领域】亚亚宝宝	【领域】亚亚宝宝 广东嫩模，考主播加Y群5405555	2031	1
特色	180233672	35656723	涉钓江湖-挂鱼钓鱼-龙虾	[涉钓江湖] 挂鱼钓鱼 年年有鱼 大家开心就好！    	13436	1
特色	390608675	52737300	保定车展┃舞帝?.ＺＺ~尊师六哥	[舞帝]YY第一汽车讲师。淘宝搜索<<舞帝商城>>	9839	1
特色	1022805526	16515007	冰心：以后别找我我不在了~	[聊吧]【米蘭聊吧】招才艺男女主播，有意者请加个签Q！~~	7700	1
特色	208494847	48047101	１１４０５０相亲踩马甲：晴朗	朗王府 - 美女帅哥相亲交友 本月心动女神  BOSS　独家冠名ＶＰ BOSS	7603	1
特色	94811162	73968282	舞帝?.避雷针 感冒.头条又来了？	【舞帝传媒?避雷针】５５０　搜索<<舞帝商城>>每天早上十点户外晚上十点室内	5174	1
特色	1265912592	30733487	『梦想』汽车直播间 prince陈	【梦想】YY汽车直播间 prince陈	4951	1
特色	918967519	22633600	?四筱木?  本月直播时间早8点晚8点	[ＮＪ] 恭喜蘇冠名（８７故事台）www.5287.tv	4232	1
特色	1198641860	98728632	阿洋	49327【阿洋】新人非常感谢兄弟姐妹关注和支持	3485	1
特色	843216713	19511581	永恒-实习 饿死了 168636	[聊吧] 【非凡】相亲交友  带你摆脱单身 2016 三月女神冠名（婉  婷）	2812	1
特色	1340125929	19583659	美女相亲现场?山东啊浩?加①号麦好友	YY第一绿色【相亲交友】招主播+YY号8899503（招收主播包推荐5%抽成）	2437	1
特色	1244752528	13566913	相亲交友找对象Dr姜汤	【家】相亲交友找对象  Dr  姜汤      南昌啦慕婚礼策划	2336	1
特色	1407156305	20979972	?HT 小二黑【相亲交友】、加我发资料	『相亲交友】二黑  丈母娘缺货了...... 	2204	1
特色	1165924380	42512038	红颜：我不是蜘蛛精	大连妹子  红颜直播间    陪伴是最长情的告白	1908	1
特色	60666170	25473394	美女相亲现场?白小洋~相亲点抢麦扣111	紫光【美女相亲现场-白小洋】每天早9点晚8点不见不散~	1811	1
特色	498670	624624	安安沙画社 ‖ 欣赏沙画艺术视觉盛宴	安安说：只有想不到，没有画不出，现场制作你想要的沙画！	1705	1
特色	1105027057	98809168	小咏琪&求相机	小咏琪&勿忘初衷 感谢兄弟们的不离不弃 愿我们能一直走下去	1688	1
特色	975150302	95050211	【鉑】＂ 壹  壹 终于来了~	【鉑】＂ 3 8 0 9 1  壹  壹  应聘主播加Q群6791980	1649	1
特色	1346490762	15393360	白石 再战先锋记录	白石开心看摔跤白石伏羲直播间 ?1 6 2 9 0? PLAY家族	1557	1
特色	1160941419	45501818	舞帝?小海城?疯狂野外	舞帝传媒-531搜索淘宝（舞帝商城）招广告位微信929516929	1174	1
特色	1484832967	45349934	【倾心娱樂】炮哥相亲交友请加一号麦	炮哥..相亲交友王国.秒榜VP.招收主播加Y群：8872756	1102	1
特色	1197712378	54035864	?RY? 涛 哥   扬帆起航	 美女相亲交友--涛哥哥  3月心动女神【韩玲儿】】3月心动男神【诗兄】	1057	1
特色	173656312	92950764	【久】『美女相亲』久茗.交友我们是认真的	【久】【美女相亲】女神√为你而来。4月【女神土豆】【男神伊人】冠名吉林Mc久茗	997	1
特色	349239	333933	沙画乐乐?浪漫沙画制作中！	〖歪之欣〗 乐乐沙画 用内心为您勾画您想要的任何沙画美景！！！	950	1
特色	14589465	65566347	相亲交友、美女帅哥多、新货求支持	【久伴4853】相亲?交友  颜颜直播间  3月心动女神：小米粒、雪宝、月宝	903	1
